Census 2010 Redistricting File Summary Data,,,,,,,,,,,
Minneapolis Neighborhoods,,,,,,,,,,,
"Source: Census Bureau, 2010 Census Population and Housing redistricting data, PL 94-171, released 3/16/2011",,,,,,,,,,,
"CPED Research, March 2011 (Revised June 29, 2011)",,,,,,,,,,,
Neighborhood Name,"2010 Population, Race and Ethnicity",,,,,,,,2010 Housing,,
,Total Population,White,Hispanic or Latino,Black or African American, American Indian and Alaska Native,Asian ,Native Hawaiian or Some Other Race,Two or More Races,Total housing units,Occupied housing units,Vacant housing units
Tangletown," 4,351 "," 3,747 ", 148 , 216 , 10 , 99 , 3 , 128 ," 1,878 "," 1,827 ", 51 
University of Minnesota," 5,421 "," 4,434 ", 129 , 158 , 13 , 517 , 12 , 158 , 170 , 169 , 1 
Ventura Village," 6,537 "," 1,424 "," 1,549 "," 2,738 ", 413 , 136 , 29 , 248 ," 2,593 "," 2,365 ", 228 
Victory," 4,580 "," 3,068 ", 220 , 798 , 36 , 235 , 26 , 197 ," 2,018 "," 1,909 ", 109 
Waite Park," 5,244 "," 4,301 ", 347 , 222 , 24 , 197 , 12 , 141 ," 2,440 "," 2,332 ", 108 
Webber - Camden," 5,097 "," 1,925 ", 327 ," 1,965 ", 99 , 488 , 21 , 272 ," 2,181 "," 1,937 ", 244 
Wenonah," 4,521 "," 2,627 ", 804 , 705 , 92 , 126 , 25 , 142 ," 1,926 "," 1,812 ", 114 
West Calhoun," 1,740 "," 1,487 ", 61 , 70 , 7 , 75 , 3 , 37 ," 1,400 "," 1,186 ", 214 
Whittier," 13,689 "," 7,017 "," 2,734 "," 2,709 ", 253 , 534 , 30 , 412 ," 7,446 "," 6,704 ", 742 
Willard - Hay," 8,611 "," 1,438 ", 643 ," 4,873 ", 137 , 985 , 28 , 507 ," 3,017 "," 2,683 ", 334 
Windom," 4,980 "," 3,036 ", 508 ," 1,012 ", 61 , 130 , 23 , 210 ," 2,208 "," 2,114 ", 94 
Windom Park," 5,678 "," 4,019 ", 623 , 566 , 85 , 182 , 17 , 186 ," 2,841 "," 2,660 ", 181 
Total," 382,578 "," 230,650 "," 40,073 "," 69,971 "," 6,351 "," 21,399 "," 1,130 "," 13,004 "," 178,287 "," 163,540 "," 14,747 "
,,,,,,,,,,,
